,Post,IdFatherComment,Date,Caption,likesComment,Username,IdChildComment
201,201,17999008831277827,1574741632,@loreehearst ❤️👏,0,stevehearst,
202,202,17867355997548183,1574740822,U should get her in a Dodge demon,6,general_parking_spot,
203,203,17921590231356506,1574729092,@sincerely.niaa,1,atl.mumu,
204,204,17846447659762783,1574722257,@trentankruger when did you get a Tesla? Lol,2,shanonscully,
205,205,17843513845830664,1574693367,@lindze.quillen,0,spewnewt,
206,206,17886372532442945,1574573924,@courtneyy95,1,grigzyy,
207,207,17920429054359046,1574566494,@joe.last.insta,0,gypsytnt,
208,208,17845416604794325,1574530218,Fake!!!,0,prattcyrus,
209,209,18116244298021238,1574521562,@trine_oxholm,1,houlegraversen,
210,210,17860408762602161,1574515690,Lol,1,jayboihd210.tv,
211,211,17845048984788492,1574510733,Try it on a German highway,5,jakob.leander,
212,212,17930415376333995,1574478491,???,2,ashketchumponchu,
213,213,17934972190323817,1574462514,@lysxvo myself,2,lysxvo,
214,214,17927381962334621,1574456063,@ingerbknudsen,1,eivindrs,
215,215,17850379888725808,1574453375,I'll buy one if it gets her 💦💦,7,juliangutierrez5,
216,216,17897248828405655,1574452823,@_gabriel_estrada,1,samueleestrada,
217,217,18082264765138313,1574449598,Шкура потекла,0,art_yervin,
218,218,18039372286221565,1574444348,She’s faking it...stay woke 😳,6,_yo_pauly_,
219,219,17997807904274713,1574442038,🥱,0,dreamtoys_g,
220,220,17920059172357718,1574411692,@farizxify,0,thatonesagittariusboi,
221,221,18041794681214521,1574406417,Girl is nice. U keep the car 👍👍,0,speedbooost,
222,222,17893932634411265,1574404010,@heathernash93,1,chrishorton.90,
223,223,17862023719564117,1574231984,"@kingstage3 sorry, I love you 🤣🤣🤣",1,beautythroughmyeyes,
224,224,17870798908519496,1573899335,@_jane_sim this will be fun,0,mattyrdunc,
225,225,17988796999280422,1573680261,❤️,1,kiekste,
226,226,17853634183635281,1573324786,@ned.hibberd @bellapug11,2,teddy_but_better,
227,227,17882892082451266,1572850793,@hannah.wood,2,grant_branstetter,
228,228,17876738587474581,1572834206,CHECK OUT MY DM,0,_lukecarney,
229,229,17856183178609032,1572738269,@maryannplouv  nous tout a l'heure,3,terikcroiset,
230,230,17899372636381945,1571916377,@nataliacnbl teletransporte,1,aleixabrado,
231,231,17861497594544559,1571779849,Lmfao I guess he never been under boost lol,2,sweetlou1320_,
232,232,18107276812020099,1571694164,@foldakr get ekki beðið eftir að gera þetta alla daga 👏🤪❤️,2,lollidsm,
233,233,17884702552435581,1571388372,@olivergass,3,philipngass,
234,234,17848766482669241,1571363806,I need a Tesla in my life 🙏 It's all I think about day and night lol I'm obsessed #oneday,6,chronormcgregor,
235,235,18036077374215137,1571235223,"Nice sunnies choice, Wall is in da house 😎🤙🏻",1,northweek,
236,236,18107190622032257,1571229437,@kelvgram @chua.wa @alexis_maliksi 😜,1,ericoduke,
237,237,17846261734716660,1571204041,All white interior? That must be a pain to clean,0,jerzyrep646,
238,238,17875186765467678,1571161553,@graham_matthew_80 😂,0,_jennrose_,
239,239,17992014115275430,1571003061,..Ohh man is this what @teslamotors has been working on with @lovensetoys .. i mean they both have HIUGE smiles and the women is in AW.. what more could you ask for,0,hammock_havens,
240,240,18105238264025632,1570974468,@xojaayyy 😂❤️🐸,0,steezyysosa,
241,241,17892277189409071,1570959474,@lotte.dz ... to be 🙌,0,mrkennyv,
242,242,18105087220049373,1570413795,I don’t get this video ?,2,mo.drips,
243,243,18070717180132745,1570281545,@osmaniacc jij bij mij 😒,1,cecilia.a.a.a,
244,244,17851378747614262,1570246678,@rickrigoli 😂😂,0,jessica.rigoli,
245,245,17851397863609205,1570203879,@freerkschuett,0,xjanxa,
246,246,17878267885444336,1570171426,We can still have a future,2,kisuniastarshop,
247,247,18085317247098447,1570124625,@anikashetty_  pt 2,0,n_tiwarii,
248,248,18022538098226893,1569809291,@jhanda2480,0,allenjsz,
